time,value
169.343124,121.650833
169.366348,121.922623
169.389572,123.452034
169.412796,131.435593
169.436005,131.977737
169.459229,115.145882
169.482452,115.455421
169.505676,128.079681
169.528885,121.019768
169.552109,115.277794
169.575333,118.159325
169.598541,119.900558
169.621765,128.417389
169.644989,119.667343
169.668213,112.535507
169.691422,127.652672
169.714645,135.414291
169.737869,124.334038
169.761093,119.813805
169.784302,122.688606
169.807526,118.971497
169.830750,113.513268
169.853973,118.942596
169.877182,127.514404
169.900406,122.223694
169.923630,123.110275
169.946854,122.154709
169.970062,122.986275
169.993286,126.873154
170.016510,126.453835
170.039734,123.129974
170.062943,118.608070
170.086166,110.901405
170.109390,113.860558
170.132614,128.602585
170.155823,129.247650
170.179047,127.341446
170.202271,129.345749
170.225494,128.305099
170.248703,126.644600
170.271927,123.937935
170.295151,126.775665
170.318375,132.422836
170.341583,129.187759
170.364807,122.061958
170.388031,131.932419
170.411240,131.429428
170.434464,120.280396
170.457687,123.336365
170.480911,123.336655
170.504120,118.764214
170.527344,123.328102
170.550568,123.408829
170.573792,121.128708
170.597000,120.157776
170.620224,120.895325
170.643448,127.076897
170.666672,134.578903
170.689880,131.166641
170.713104,119.330475
170.736328,130.441605
170.759552,136.673767
170.782761,129.519821
170.805984,132.720459
170.829208,135.055542
170.852432,130.793320
170.875641,127.159554
170.898865,122.432159
170.922089,127.269493
170.945313,137.291992
170.968521,129.422226
170.991745,116.071350
171.014969,119.772133
171.038193,123.581924
171.061401,127.717270
171.084625,128.632599
171.107849,125.726730
171.131073,124.055130
171.154282,119.495789
171.177505,112.373917
171.200729,105.977173
171.223938,122.782791
171.247162,124.284973
171.270386,113.461800
171.293610,119.945435
171.316818,113.922455
171.340042,118.146439
171.363266,128.318832
171.386490,121.214203
171.409698,118.867897
171.432922,115.637108
171.456146,117.088135
171.479370,128.477112
171.502579,120.585793
171.525803,116.217438
171.549026,128.489624
171.572250,121.743500
171.595459,119.868683
171.618683,126.133904
171.641907,111.713043
171.665131,112.602310
171.688339,113.985222
171.711563,115.422844
171.734787,126.372993
171.758011,118.732262
171.781219,118.640625
171.804443,126.842560
171.827667,125.075966
171.850891,118.295708
171.874100,118.142097
171.897324,114.456451
171.920547,109.534966
171.943771,104.859077
171.966980,109.984261
171.990204,121.082779
172.013428,123.008911
172.036652,122.947823
172.059860,120.098396
172.083084,116.822952
172.106308,110.395203
172.129517,113.507484
172.152740,116.331802
172.175964,117.602524
172.199188,115.225258
172.222397,102.750946
172.245621,100.462120
172.268845,109.038399
172.292068,113.822144
172.315277,113.824554
172.338501,116.363853
172.361725,124.649483
172.384949,139.944031
172.408157,135.195999
172.431381,131.644165
172.454605,130.222122
172.477829,121.627480
172.501038,129.700714
172.524261,126.300453
172.547485,127.559425
172.570709,131.204086
172.593918,125.498787
172.617142,127.349617
172.640366,124.806946
172.663589,125.883553
172.686798,134.369919
172.710022,137.779007
172.733246,132.274902
172.756470,136.142822
172.779678,133.398514
172.802902,126.997154
172.826126,168.623413
172.849350,196.961670
172.872559,185.859436
172.895782,170.921951
172.919006,170.238571
172.942215,156.987991
172.965439,158.664413
172.988663,170.261185
173.011887,150.779907
173.035095,202.497452
173.058319,333.979889
173.081543,403.701477
173.104767,365.478088
173.127975,310.089508
173.151199,280.032806
173.174423,236.554214
173.197647,226.241974
173.220856,224.031815
173.244080,216.827560
173.267303,207.537811
173.290527,216.363647
173.313736,230.334076
173.336960,230.805710
173.360184,243.118591
173.383408,226.815460
173.406616,225.945648
173.429840,241.714661
173.453064,233.696274
173.476288,223.906876
173.499496,212.830566
173.522720,218.953827
173.545944,222.948486
173.569168,226.258575
173.592377,238.253540
173.615601,252.507233
173.638824,265.431335
173.662048,256.301971
173.685257,281.482941
173.708481,353.184753
173.731705,370.742798
173.754913,290.264038
173.778137,282.163055
173.801361,320.875183
173.824585,258.403595
173.847794,205.457397
173.871017,235.951767
173.894241,241.963852
173.917465,219.460556
173.940674,192.710587
173.963898,154.922791
173.987122,160.967255
174.010345,178.752640
174.033554,155.588654
174.056778,122.904297
174.080002,229.673706
174.103226,236.104477
174.126434,139.437408
174.149658,122.970695
174.172882,114.899406
174.196106,121.528191
174.219315,127.738800
174.242538,132.719818
174.265762,133.402664
174.288986,130.499268
174.312195,122.480499
174.335419,110.165558
174.358643,110.637955
174.381866,115.902100
174.405075,120.967316
174.428299,125.171524
174.451523,124.325661
174.474747,117.289345
174.497955,120.381157
174.521179,125.112206
174.544403,126.739502
174.567612,126.651169
174.590836,120.553047
174.614059,127.477036
174.637283,133.314484
174.660492,121.887573
174.683716,120.016624
174.706940,130.294205
174.730164,118.731857
174.753372,117.692314
174.776596,138.725372
174.799820,130.657166
174.823044,125.273018
174.846252,128.380081
174.869476,113.848373
174.892700,123.082458
174.915924,123.772675
174.939133,111.843567
174.962357,123.308815
174.985580,122.420197
175.008804,109.944305
175.032013,104.788834
175.055237,113.287102
175.078461,115.501732
175.101685,122.846252
175.124893,124.339050
175.148117,113.460083
175.171341,117.963760
175.194565,125.017776
175.217773,129.705750
175.240997,124.678093
175.264221,118.478088
175.287445,122.032043
175.310654,125.450981
175.333878,109.549278
175.357101,116.014893
175.380310,132.358383
175.403534,122.482094
175.426758,121.942345
175.449982,123.706657
175.473190,122.680710
175.496414,126.072021
175.519638,124.336327
175.542862,125.323418
175.566071,126.838196
175.589294,123.834229
175.612518,128.409378
175.635742,133.767685
175.658951,131.735245
175.682175,128.278503
175.705399,130.929489
175.728622,126.699226
175.751831,120.941849
175.775055,124.217445
175.798279,116.819954
175.821503,116.334259
175.844711,128.345596
175.867935,135.339554
175.891159,136.384979
175.914383,132.163483
175.937592,125.408310
175.960815,126.411575
175.984039,125.539673
176.007263,120.625053
176.030472,129.907593
176.053696,128.171448
176.076920,114.479622
176.100143,111.999374
176.123352,109.552109
176.146576,115.883751
176.169800,119.193054
176.193008,121.478294
